OBJECTID;uuid;deso;kommun;lan;kommunnamn;lannamn;version;Field1;key_0;Deso_1;Station;Boende_totalt_Antal;Antal_Bilar;Bilar_småhus;Bilar_flerbostadshus;Antal_personer_i_småhus;Antal_personer_i_flerbostadshus;Laddpunkter;Kommungrupp_2023;Travel__km_;Travel___;Shape_Length;Shape_Area;max_aadtfordon;sum_Length_KILOMETERS;Polyline_Count;CITY
1;{8DE2583C-6A92-45B5-AD41-7F40B7A90862};1256B2010;1256;12;Östra Göinge;Skåne;2018_v2;0;Östra Göinge;1256B2010;TORSEBRO;1841;987;838;149;1538;203;59;Pendlingskommun nära större stad;25;3;13978.89566;6141834.196;5078;6.368129035;13;No
2;{5AF0864D-40F8-4599-8AA6-636D82976DB3};1292A0010;1292;12;Ängelholm;Skåne;2018_v2;10;Ängelholm;1292A0010;ÅSTORP_S;850;572;536;36;812;17;34;Pendlingskommun nära större stad;25;3;49384.44068;35214126.77;9861;44.39880298;70;No
3;{502B37EF-F99E-49FA-8AE9-689977ADBA90};1293A0030;1293;12;Hässleholm;Skåne;2018_v2;34;Hässleholm;1293A0030;VINSLÖV;1499;955;903;52;1479;0;57;Lågpendlingskommun nära större stad;31;6;83858.78344;118562815.9;5326;83.55226385;78;No
4;{06D3946E-BF4F-4250-ABFB-59DEC7568808};1256B2020;1256;12;Östra Göinge;Skåne;2018_v2;1;Östra Göinge;1256B2020;TORSEBRO;1586;726;478;248;964;519;43;Pendlingskommun nära större stad;25;3;14850.78086;5233374.127;5078;4.509774441;10;No
5;{5893A554-E321-47E1-8314-1F66C8702354};1284C1060;1284;12;Höganäs;Skåne;2018_v2;67;Höganäs;1284C1060;HÖGANÄS;2375;986;577;409;1200;972;59;Pendlingskommun nära större stad;25;3;10286.15148;4364460.001;11527;2.351610492;13;Medium
6;{57FEF2CE-C8EE-4F81-9849-BB100B87D925};1292C1050;1292;12;Ängelholm;Skåne;2018_v2;11;Ängelholm;1292C1050;ÄNGELHO;1632;755;108;647;206;1380;45;Pendlingskommun nära större stad;25;3;3598.21154;498506.3608;0;0;0;Medium
7;{C2323F2B-EFE0-4A6D-B0E1-DAE9F642245D};1284C1070;1284;12;Höganäs;Skåne;2018_v2;68;Höganäs;1284C1070;HÖGANÄS;2222;1036;554;482;1065;908;62;Pendlingskommun nära större stad;25;3;13805.27513;6291504.313;1085;8.239241002;12;No
8;{03F54F35-4D1C-4B01-89B4-2A6BA0F1A708};1284C1080;1284;12;Höganäs;Skåne;2018_v2;69;Höganäs;1284C1080;HÖGANÄS;1969;766;448;318;1029;771;45;Pendlingskommun nära större stad;25;3;2977.526775;501038.1765;3118;0.609918144;2;Medium
9;{3D2C90AD-57C8-4890-AA5A-1544D1034D01};1276B3010;1276;12;Klippan;Skåne;2018_v2;84;Klippan;1276B3010;KLIPPAN;1999;1166;973;193;1622;276;69;Pendlingskommun nära större stad;25;3;17428.14452;12344716.97;7490;27.43982778;67;No
10;{E79D4E72-76AE-445B-8252-408092AA4FA0};1284C1090;1284;12;Höganäs;Skåne;2018_v2;70;Höganäs;1284C1090;HÖGANÄS;2078;913;354;559;739;1266;54;Pendlingskommun nära större stad;25;3;6449.478215;1733130.846;6051;0.329849071;4;Medium
11;{563C24EB-F57E-40C6-B073-0346E5CCA89F};1272A0010;1272;12;Bromölla;Skåne;2018_v2;94;Bromölla;1272A0010;IVÖ;1369;864;801;63;1336;13;51;Pendlingskommun nära större stad;25;3;113377.2214;138313380.4;5036;44.9819546;49;No
12;{26639137-50B2-403D-946A-068DA2601F24};1284C1110;1284;12;Höganäs;Skåne;2018_v2;71;Höganäs;1284C1110;HÖGANÄS;1410;728;562;166;1101;234;43;Pendlingskommun nära större stad;25;3;11258.8781;6598226.036;9523;3.482587434;14;Medium
13;{DFC1E8FC-98FF-4556-A12E-D5A78BA18FCC};1283A0040;1283;12;Helsingborg;Skåne;2018_v2;101;Helsingborg;1283A0040;STUREHOLM;1178;707;677;30;1141;5;42;Större stad;21;2;54883.59333;53080337.23;5832;28.80852446;22;No
14;{18A206A8-7638-40DD-97B7-1756864D2CD1};1284C1100;1284;12;Höganäs;Skåne;2018_v2;72;Höganäs;1284C1100;HÖGANÄS;1913;893;526;367;1050;627;53;Pendlingskommun nära större stad;25;3;13799.53449;7473424.956;10331;12.51459504;31;Medium
15;{164A99AB-B2CB-408F-93FF-D5BD2899A343};1276A0030;1276;12;Klippan;Skåne;2018_v2;85;Klippan;1276A0030;KLIPPAN;1414;911;823;88;1366;15;54;Pendlingskommun nära större stad;25;3;91884.8063;118003621.4;4232;51.79917243;41;No
