,Kommun,Kommunnamn,Zon,Antal Bilar,Kommungrupp 2023,Travel (km),Travel +-,Boende totalt Antal,E,N,geom_Length,geom_Area
0,1256,Östra Göinge,1256B2010,987,Pendlingskommun nära större stad,25,3,1841,445761,6217713,13978.89566,6141834.196
1,1256,Östra Göinge,1256B2020,726,Pendlingskommun nära större stad,25,3,1586,445761,6217713,14850.78086,5233374.127
2,1256,Östra Göinge,1256A0010,848,Pendlingskommun nära större stad,25,3,1291,456053,6226593,51525.97718,84292069.75
3,1256,Östra Göinge,1256C1010,772,Pendlingskommun nära större stad,25,3,1563,434578,6220850,10090.53058,4741871.03
4,1256,Östra Göinge,1256C1020,803,Pendlingskommun nära större stad,25,3,1866,456053,6226593,14110.13174,9377031.065
5,1256,Östra Göinge,1256A0020,531,Pendlingskommun nära större stad,25,3,842,445761,6217713,90670.35047,114111077.8
6,1256,Östra Göinge,1256B4010,666,Pendlingskommun nära större stad,25,3,1412,456053,6226593,10096.14553,6892427.453
7,1256,Östra Göinge,1256B3010,746,Pendlingskommun nära större stad,25,3,1606,456053,6226593,11892.70539,8794835.272
8,1256,Östra Göinge,1256A0030,713,Pendlingskommun nära större stad,25,3,1175,456053,6226593,143494.674,206595005.7
9,1256,Östra Göinge,1256B5010,678,Pendlingskommun nära större stad,25,3,1395,445761,6217713,10172.88823,6805662.113
10,1292,Ängelholm,1292A0010,572,Pendlingskommun nära större stad,25,3,850,371588,6221705,49384.44068,35214126.77
11,1292,Ängelholm,1292C1050,755,Pendlingskommun nära större stad,25,3,1632,370107,6235579,3598.21154,498506.3608
12,1292,Ängelholm,1292C1010,1022,Pendlingskommun nära större stad,25,3,2144,370107,6235579,13113.74194,6908911.022
13,1292,Ängelholm,1292C1020,1155,Pendlingskommun nära större stad,25,3,2434,370107,6235579,8501.286884,3410944.578
14,1292,Ängelholm,1292C1040,1070,Pendlingskommun nära större stad,25,3,2509,370107,6235579,5576.125649,1308595.032
15,1292,Ängelholm,1292C1090,585,Pendlingskommun nära större stad,25,3,1429,370107,6235579,1837.65162,191159.0625
16,1292,Ängelholm,1292C1080,837,Pendlingskommun nära större stad,25,3,1924,370107,6235579,7098.341569,2071864.395
17,1292,Ängelholm,1292A0020,843,Pendlingskommun nära större stad,25,3,1324,370107,6235579,58084.21866,65466239.35
18,1292,Ängelholm,1292C1060,1073,Pendlingskommun nära större stad,25,3,2407,370107,6235579,11985.5463,4733020.103
19,1292,Ängelholm,1292B2010,1164,Pendlingskommun nära större stad,25,3,2239,370107,6235579,9286.87674,4168882.324
20,1292,Ängelholm,1292C1100,957,Pendlingskommun nära större stad,25,3,2013,370107,6235579,9690.763159,3862202.115
21,1292,Ängelholm,1292C1120,950,Pendlingskommun nära större stad,25,3,1891,370107,6235579,5405.331492,891762.8237
22,1292,Ängelholm,1292C1110,1136,Pendlingskommun nära större stad,25,3,2291,370107,6235579,15677.97155,6256291.692
23,1292,Ängelholm,1292B2020,979,Pendlingskommun nära större stad,25,3,1776,370107,6235579,16458.11336,10553212.08
24,1292,Ängelholm,1292C1150,1213,Pendlingskommun nära större stad,25,3,2317,363373,6251148,10619.38703,4335909.873
