,mean,max,25%,50%,75%,95%,std
1256B2010,233.42566210045663,680.5999999999999,166.60000000000005,217.20000000000002,293.32500000000005,390.1199999999996,84.83986415306309
1256B2020,181.05100456621005,581.1,125.0,170.0,227.8,308.60499999999996,72.04810688406901
1256A0010,200.33480593607308,535.7,141.4,187.40000000000003,250.42500000000007,336.9,74.73989793683735
1256C1010,183.18335616438358,525.6999999999999,127.4,169.80000000000004,231.30000000000004,312.4999999999999,70.17699419423201
1256C1020,223.2120662100457,838.2,150.30000000000004,213.9,279.8,386.805,90.27484456863294
1256A0020,138.92259132420094,595.5,90.6,127.50000000000003,177.82500000000005,254.7099999999999,62.783271535851746
1256B4010,152.16098173515982,443.7000000000001,108.2,141.3,189.50000000000006,261.505,58.39635059017868
1256B3010,194.4582077625571,586.4000000000001,133.4,182.05000000000004,245.42500000000004,334.29999999999995,78.07528831952345
1256A0030,174.36356164383565,545.6,119.60000000000002,163.0,221.1,299.6199999999997,69.5242011208047
1256B5010,184.26323059360732,673.6,123.0,172.35000000000002,232.6,326.1099999999999,78.72244808336562
1292A0010,137.6635388127854,450.8,94.1,127.00000000000004,174.5,242.8,57.002673272104715
1292C1050,207.5074885844749,908.5,137.8,196.05,262.9,365.7099999999998,87.31610326476029
1292C1010,241.12117579908676,637.7,173.20000000000002,225.30000000000004,302.525,398.50499999999994,85.89906883356994
1292C1020,299.5153424657534,767.4999999999998,210.40000000000003,288.25,375.0999999999999,487.0999999999998,107.879333946637
1292C1040,249.79945205479453,597.0999999999999,180.375,232.70000000000005,312.5,410.30499999999984,88.1345333023655
1292C1090,176.9129794520548,692.5,112.4,163.90000000000003,224.425,330.3199999999997,83.7662911748444
1292C1080,212.84460045662104,595.6,148.3,201.00000000000003,267.80000000000007,361.30000000000007,81.52981039717992
1292A0020,194.74392694063928,484.6,138.0,181.8,244.82500000000005,327.2,71.73173851520446
1292C1060,255.2515068493151,666.5999999999999,183.57500000000005,238.50000000000003,318.69999999999993,420.70499999999976,90.42237118464122
1292B2010,267.02954337899547,624.6999999999998,191.7,244.9500000000001,334.29999999999995,442.6999999999998,95.33636928230328
