,Unnamed: 0,Kommun,Kommunnamn,Antal Bilar,Kommungrupp 2023,Travel (km),Travel +-,Boende totalt Antal,E,N,geom_Length,geom_Area,mean,max,25%,50%,75%,95%,std
1256B2010,0,1256,Östra Göinge,987,Pendlingskommun nära större stad,25,3,1841,445761,6217713,13978.89566,6141834.196,233.42566210045663,680.5999999999999,166.60000000000005,217.20000000000002,293.32500000000005,390.1199999999996,84.83986415306309
1256B2020,1,1256,Östra Göinge,726,Pendlingskommun nära större stad,25,3,1586,445761,6217713,14850.78086,5233374.127,181.05100456621005,581.1,125.0,170.0,227.8,308.60499999999996,72.04810688406901
1256A0010,2,1256,Östra Göinge,848,Pendlingskommun nära större stad,25,3,1291,456053,6226593,51525.97718,84292069.75,200.33480593607308,535.7,141.4,187.40000000000003,250.42500000000007,336.9,74.73989793683735
1256C1010,3,1256,Östra Göinge,772,Pendlingskommun nära större stad,25,3,1563,434578,6220850,10090.53058,4741871.03,183.18335616438358,525.6999999999999,127.4,169.80000000000004,231.30000000000004,312.4999999999999,70.17699419423201
1256C1020,4,1256,Östra Göinge,803,Pendlingskommun nära större stad,25,3,1866,456053,6226593,14110.13174,9377031.065,223.2120662100457,838.2,150.30000000000004,213.9,279.8,386.805,90.27484456863294
1256A0020,5,1256,Östra Göinge,531,Pendlingskommun nära större stad,25,3,842,445761,6217713,90670.35047,114111077.8,138.92259132420094,595.5,90.6,127.50000000000003,177.82500000000005,254.7099999999999,62.783271535851746
1256B4010,6,1256,Östra Göinge,666,Pendlingskommun nära större stad,25,3,1412,456053,6226593,10096.14553,6892427.453,152.16098173515982,443.7000000000001,108.2,141.3,189.50000000000006,261.505,58.39635059017868
1256B3010,7,1256,Östra Göinge,746,Pendlingskommun nära större stad,25,3,1606,456053,6226593,11892.70539,8794835.272,194.4582077625571,586.4000000000001,133.4,182.05000000000004,245.42500000000004,334.29999999999995,78.07528831952345
1256A0030,8,1256,Östra Göinge,713,Pendlingskommun nära större stad,25,3,1175,456053,6226593,143494.674,206595005.7,174.36356164383565,545.6,119.60000000000002,163.0,221.1,299.6199999999997,69.5242011208047
1256B5010,9,1256,Östra Göinge,678,Pendlingskommun nära större stad,25,3,1395,445761,6217713,10172.88823,6805662.113,184.26323059360732,673.6,123.0,172.35000000000002,232.6,326.1099999999999,78.72244808336562
1292A0010,10,1292,Ängelholm,572,Pendlingskommun nära större stad,25,3,850,371588,6221705,49384.44068,35214126.77,137.6635388127854,450.8,94.1,127.00000000000004,174.5,242.8,57.002673272104715
1292C1050,11,1292,Ängelholm,755,Pendlingskommun nära större stad,25,3,1632,370107,6235579,3598.21154,498506.3608,207.5074885844749,908.5,137.8,196.05,262.9,365.7099999999998,87.31610326476029
1292C1010,12,1292,Ängelholm,1022,Pendlingskommun nära större stad,25,3,2144,370107,6235579,13113.74194,6908911.022,241.12117579908676,637.7,173.20000000000002,225.30000000000004,302.525,398.50499999999994,85.89906883356994
1292C1020,13,1292,Ängelholm,1155,Pendlingskommun nära större stad,25,3,2434,370107,6235579,8501.286884,3410944.578,299.5153424657534,767.4999999999998,210.40000000000003,288.25,375.0999999999999,487.0999999999998,107.879333946637
1292C1040,14,1292,Ängelholm,1070,Pendlingskommun nära större stad,25,3,2509,370107,6235579,5576.125649,1308595.032,249.79945205479453,597.0999999999999,180.375,232.70000000000005,312.5,410.30499999999984,88.1345333023655
1292C1090,15,1292,Ängelholm,585,Pendlingskommun nära större stad,25,3,1429,370107,6235579,1837.65162,191159.0625,176.9129794520548,692.5,112.4,163.90000000000003,224.425,330.3199999999997,83.7662911748444
1292C1080,16,1292,Ängelholm,837,Pendlingskommun nära större stad,25,3,1924,370107,6235579,7098.341569,2071864.395,212.84460045662104,595.6,148.3,201.00000000000003,267.80000000000007,361.30000000000007,81.52981039717992
1292A0020,17,1292,Ängelholm,843,Pendlingskommun nära större stad,25,3,1324,370107,6235579,58084.21866,65466239.35,194.74392694063928,484.6,138.0,181.8,244.82500000000005,327.2,71.73173851520446
1292C1060,18,1292,Ängelholm,1073,Pendlingskommun nära större stad,25,3,2407,370107,6235579,11985.5463,4733020.103,255.2515068493151,666.5999999999999,183.57500000000005,238.50000000000003,318.69999999999993,420.70499999999976,90.42237118464122
1292B2010,19,1292,Ängelholm,1164,Pendlingskommun nära större stad,25,3,2239,370107,6235579,9286.87674,4168882.324,267.02954337899547,624.6999999999998,191.7,244.9500000000001,334.29999999999995,442.6999999999998,95.33636928230328
1292C1100,20,1292,Ängelholm,957,Pendlingskommun nära större stad,25,3,2013,370107,6235579,9690.763159,3862202.115,242.28889269406395,627.2,170.00000000000003,228.90000000000003,304.5,407.1099999999999,90.87060590663995
1292C1120,21,1292,Ängelholm,950,Pendlingskommun nära större stad,25,3,1891,370107,6235579,5405.331492,891762.8237,237.0322488584475,583.4999999999999,166.4,223.50000000000006,299.4,395.2099999999998,88.23577920556106
1292C1110,22,1292,Ängelholm,1136,Pendlingskommun nära större stad,25,3,2291,370107,6235579,15677.97155,6256291.692,277.72204337899547,716.0999999999999,198.30000000000004,260.65000000000003,347.025,453.51499999999965,98.69742062102924
1292B2020,23,1292,Ängelholm,979,Pendlingskommun nära större stad,25,3,1776,370107,6235579,16458.11336,10553212.08,247.58972602739726,676.3,173.40000000000003,235.15000000000003,311.2,411.0049999999998,92.5626632384541
1292C1150,24,1292,Ängelholm,1213,Pendlingskommun nära större stad,25,3,2317,363373,6251148,10619.38703,4335909.873,278.4161187214612,652.0999999999997,201.87500000000003,257.30000000000007,349.2,455.69999999999976,96.73713994167846
1292C1130,25,1292,Ängelholm,852,Pendlingskommun nära större stad,25,3,1582,370107,6235579,12533.09858,6307346.679,230.26875570776255,706.3,156.60000000000002,219.90000000000006,290.2,390.9599999999991,91.01794500716696
1292C1140,26,1292,Ängelholm,1115,Pendlingskommun nära större stad,25,3,1994,370107,6235579,20394.90274,10827585.92,263.1524657534247,732.0999999999996,188.00000000000006,244.25000000000006,330.525,431.5999999999998,93.66831344102476
1292B3010,27,1292,Ängelholm,555,Pendlingskommun nära större stad,25,3,1043,370107,6235579,10899.22495,5627930.396,149.06743150684935,587.7,97.3,137.9,188.72500000000005,274.70000000000005,67.57011492776674
1292A0040,28,1292,Ängelholm,1195,Pendlingskommun nära större stad,25,3,1805,370107,6235579,77389.00945,83920247.62,278.7227739726027,702.0999999999998,202.3,258.9000000000001,348.4999999999999,454.69999999999976,96.49791079041772
1292B3020,29,1292,Ängelholm,570,Pendlingskommun nära större stad,25,3,941,363373,6251148,14177.03153,11318671.75,136.8098515981735,473.2000000000001,93.7,127.0,173.70000000000005,239.7,56.85927133764916
1292A0030,30,1292,Ängelholm,1515,Pendlingskommun nära större stad,25,3,2341,386632,6241761,75983.08729,164885951.7,347.480205479452,840.5999999999997,253.50000000000003,320.04999999999995,432.9999999999999,559.7049999999996,117.43205146672226
1292C1030,31,1292,Ängelholm,807,Pendlingskommun nära större stad,25,3,2126,370107,6235579,2292.380435,318973.5964,187.21736301369864,474.0999999999999,132.60000000000002,173.10000000000002,235.90000000000003,314.6149999999998,70.28304500383753
1292C1070,32,1292,Ängelholm,728,Pendlingskommun nära större stad,25,3,1770,370107,6235579,2634.079013,266019.0324,177.43260273972604,543.3,123.5,166.05,223.90000000000003,305.0,69.2556809383709
