,mean,max,25%,50%,75%,95%,std
1256B2010,233.7989611872146,801.5999999999997,86.50000000000001,186.05000000000004,355.525,559.4049999999996,170.81690709856295
1256B2020,180.59764840182646,707.1999999999998,65.7,145.70000000000002,275.75000000000006,426.80499999999995,132.70193073835472
1256A0010,200.73691780821918,750.1999999999997,74.625,160.20000000000002,306.725,480.60499999999973,148.44218876245182
1256C1010,182.85351598173517,829.3999999999997,65.7,144.8,282.025,437.20499999999987,135.64257240037918
1256C1020,219.97970319634703,879.8999999999999,82.1,187.0,332.82500000000005,507.4049999999999,158.03210265620893
1256A0020,141.4705251141553,597.3,49.4,113.4,216.75,347.5,107.94440406075279
1256B4010,152.70343607305935,518.3999999999996,57.7,120.0,231.625,372.61499999999967,114.48551904433083
1256B3010,193.4045205479452,733.4999999999999,69.0,158.05,298.0,452.22499999999974,140.98824587753253
1256A0030,175.90867579908675,710.5999999999998,64.67499999999998,141.60000000000002,271.5,421.5999999999998,130.2932800859525
1256B5010,183.93654109589042,751.6999999999999,65.3,152.75,280.625,431.10999999999973,134.61516752717864
1292A0010,137.47729452054796,630.1,49.8,108.8,212.20000000000005,333.80499999999995,104.25025642459634
1292C1050,206.04649543379,739.1999999999998,76.10000000000001,174.3,312.04999999999995,480.40499999999986,147.79729929768862
1292C1010,242.29759132420085,918.6999999999996,89.3,194.95000000000005,370.9999999999999,575.1999999999998,176.8313129155675
1292C1020,297.96666666666664,1041.7999999999995,113.25,250.60000000000005,452.19999999999993,691.7049999999995,211.25892661173742
1292C1040,250.244703196347,877.4999999999995,90.7,199.05,381.6499999999999,603.0049999999994,184.92160699145273
1292C1090,179.31125570776257,1007.3,61.3,152.60000000000002,273.29999999999995,422.2099999999999,133.84045900100463
1292C1080,211.8464497716895,810.0999999999998,75.675,172.85000000000002,324.65,504.50499999999994,155.05170076752347
1292A0020,194.0048173515982,683.6999999999997,71.8,151.65,297.525,469.8,145.02063628214304
1292C1060,254.20660958904102,884.8999999999995,94.0,202.25,387.2,602.8099999999996,184.82745785028035
1292B2010,268.0182077625571,859.6999999999997,97.275,211.7,414.675,647.2099999999996,198.13064508714123
1292C1100,239.8636415525114,892.7999999999996,90.00000000000001,197.50000000000003,364.325,560.4999999999998,172.34737916127443
1292C1120,235.57923515981733,897.2999999999995,87.1,191.75000000000003,359.82500000000005,554.0099999999996,170.7467315047139
1292C1110,274.9158675799086,947.8999999999996,104.5,222.64999999999998,418.85,644.0999999999996,197.50872797662478
1292B2020,248.39486301369863,932.5999999999996,91.35000000000001,203.55,379.225,579.0999999999997,178.8123191663623
1292C1150,278.08063926940633,912.3999999999996,102.3,218.15000000000003,427.29999999999984,666.4049999999995,204.20011682297584
1292C1130,231.29739726027395,1121.1,83.7,193.95000000000005,350.875,541.7099999999998,167.74769641298138
1292C1140,263.54800228310495,875.3999999999994,98.275,211.20000000000002,403.79999999999995,623.8999999999996,191.18318082848577
1292B3010,147.14061643835618,681.8999999999999,53.3,119.8,225.62500000000003,351.00499999999994,109.1987316523522
1292A0040,279.86672374429213,991.9999999999994,102.1,223.60000000000002,426.8249999999998,670.4999999999995,205.58630942588465
1292B3020,136.64148401826486,527.4999999999998,49.9,107.80000000000001,213.625,330.40999999999985,102.9415655222474
1292A0030,346.47529680365284,1137.0999999999997,128.20000000000002,273.30000000000007,536.0999999999997,819.2049999999992,251.9797705783313
1292C1030,187.35779680365295,665.4999999999997,68.6,149.0,286.9,451.1099999999998,138.89742296098765
1292C1070,178.43583333333336,700.8999999999999,64.8,142.0,274.75000000000006,426.1999999999998,132.94671580480326
1292B4010,183.68445205479452,679.3999999999995,68.3,144.60000000000002,279.325,443.5049999999998,137.10962512785994
1293A0030,275.44890410958897,905.5999999999996,107.20000000000002,221.14999999999998,420.29999999999984,644.9999999999997,195.23705533515465
1293A0060,244.54285388127846,856.9999999999999,95.9,199.90000000000003,373.7750000000001,559.2999999999996,171.25411486724164
1293B7010,256.3964840182648,930.7999999999996,100.6,207.3,391.725,595.5099999999996,181.20004475109766
1293B4010,188.08535388127854,709.2999999999997,72.6,148.2,287.65,443.8999999999998,136.0156366431864
1293A0050,283.03356164383564,1036.4,110.475,238.10000000000002,429.25,639.8099999999994,195.8633249923263
1293A0040,238.54119863013696,827.5999999999993,93.2,188.10000000000002,365.5,564.1049999999998,171.55488000544764
1293B4020,238.32381278538807,797.0999999999997,92.95,188.35000000000002,367.32499999999993,564.6149999999994,171.664969551312
1293A0070,177.7998287671233,661.5999999999999,67.3,141.55,273.85,421.1099999999998,128.59282944136515
1293B6010,252.50431506849313,819.1999999999995,100.0,203.00000000000003,386.825,586.4349999999991,178.78225683093544
1293A0080,236.57378995433785,801.9999999999995,91.20000000000002,185.5,362.0999999999999,560.1999999999997,169.99783866720534
1293B5010,237.39215753424654,796.2999999999995,90.7,188.7,364.32499999999993,564.0049999999995,172.50778755765006
1293B3020,304.06930365296796,1017.2999999999996,117.17500000000004,244.30000000000004,461.5499999999998,715.0049999999995,217.20489015725684
1293B3010,193.6950684931507,717.1999999999998,75.30000000000001,158.10000000000002,295.5,447.5149999999998,137.08472513852274
